Beat Battle,Judge #1,Judge #2,Judge #3,Place,Beatmaker,Beat Name,Score
1,Nerub,C.S.T.,,1,Vulpeanu,,5
1,Nerub,C.S.T.,,2,MLDN,,5
1,Nerub,C.S.T.,,3,CGR,,4.75
1,Nerub,C.S.T.,,4,JoeyCrack,,4.75
1,Nerub,C.S.T.,,5,TinyBeats,,4.25
2,Nerub,Vlad Dobrescu,,1,El Huron,Film din jungla,
2,Nerub,Vlad Dobrescu,,2,mateicojo,,
2,Nerub,Vlad Dobrescu,,3,CEINARU,,
3,Nerub,Gogan,nUKred,1,Vulpeanu,,
3,Nerub,Gogan,nUKred,2,Dinca,,
3,Nerub,Gogan,nUKred,3,Stolly,,
3,Nerub,Gogan,nUKred,4,mateicojo,,
3,Nerub,Gogan,nUKred,5,GHERMAN,,
4,Nerub,Tomi Marfă,Vapor,1,Stolly,,
4,Nerub,Tomi Marfă,Vapor,2,mateicojo,,
4,Nerub,Tomi Marfă,Vapor,3,BENJAHMIN,,
5,Deliric,,,1,mayfourteen,,
5,Deliric,,,2,oliniutza,,
5,Deliric,,,3,bladishv,,
7,Macanache,,,1,GROVEEK,,4.5
7,Macanache,,,2,ionbriceag,,4.45
7,Macanache,,,3,JoeyCrack,,4.43
8,Lu-K Beats,PRNY,,1,Z3nn,,4.38
8,Lu-K Beats,PRNY,,2,venr,,4.25
8,Lu-K Beats,PRNY,,3,CGR,,4.13
